,address,business_id,categories,city,hours,latitude,longitude,name,postal_code,review_count,stars,state,OutdoorSeating,BusinessAcceptsCreditCards,RestaurantsPriceRange2,RestaurantsTakeOut,WiFi,ParkingAvailability
177,1716 Chestnut St,-cEFKAznWmI0cledNOIQ7w,"Restaurants, Gelato, Coffee & Tea, Food, Italian, Bakeries",Philadelphia,"{'Monday': '7:0-22:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-22:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-23:0', 'Saturday': '8:0-23:0', 'Sunday': '8:0-22:0'}",39.9512789,-75.1695181,Gran Caffe L'Aquila,19103,1138.0,4.5,PA,1,1,2,1,free,1.0
178,325 Chestnut St,6cfNCzL2A0XsmXnjeg0u7w,"Coffee & Tea, Pizza, Restaurants, Food, Sandwiches",Philadelphia,"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}",39.949088,-75.147154,Cosi,19106,77.0,2.0,PA,1,1,1,1,free,1.0
179,814 S 9th St,pKccrz26dHNUcR5ShhoKJw,"Appliances, Coffee & Tea, Food, Coffee Roasteries, Home & Garden, Shopping",Philadelphia,"{'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-16:0'}",39.9393718,-75.1579241,9th Street Coffee & Tea,19147,15.0,4.5,PA,0,1,2,1,free,1.0
180,2100 Chestnut St,N4UpSKh-PQNfvk4w1QAYrA,"Breakfast & Brunch, Bagels, Cafes, Caterers, Coffee & Tea, Food, Event Planning & Services, Restaurants",Philadelphia,"{'Monday': '7:0-18:30', 'Tuesday': '7:0-18:30', 'Wednesday': '7:0-18:30', 'Thursday': '7:0-18:30', 'Friday': '7:0-18:30', 'Saturday': '8:0-18:0', 'Sunday': '8:30-17:30'}",39.9522150967,-75.1755575165,Caffeination,19103,129.0,3.0,PA,1,1,1,1,free,1.0
181,234 S St,vBQNbW_aiKCteAp756VQgw,"Coffee & Tea, Juice Bars & Smoothies, Food, Mediterranean, Bars, Restaurants, Nightlife, Hookah Bars",Philadelphia,"{'Monday': '17:0-1:0', 'Tuesday': '17:0-1:0', 'Wednesday': '17:0-1:0', 'Thursday': '17:0-2:0', 'Friday': '17:0-4:0', 'Saturday': '17:0-4:0', 'Sunday': '17:0-1:0'}",39.9412409,-75.1470082,Sphinx Café,19147,25.0,3.0,PA,0,1,2,1,free,0.0
182,2532 S Broad St,o6QW19rG1Xsy_ySsxqkpxg,"Coffee & Tea, Sandwiches, Restaurants, Food, American (Traditional), Breakfast & Brunch, Fast Food",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '10:30-18:30', 'Wednesday': '10:30-18:30', 'Thursday': '10:30-18:30', 'Friday': '10:30-18:30'}",39.918636,-75.171153,Caffe Chicco,19145,26.0,4.5,PA,0,1,1,1,no,1.0
183,3401 Lancaster Ave,_tnLEdv1H_JYEcfWSpNFow,"Food, Coffee & Tea, Grocery, Convenience Stores",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9576784,-75.1913765,7-Eleven,19104,15.0,3.0,PA,,1,1,1,,1.0
184,2144-48 Lombard St,GY0OfiGt04kur8WlviKacw,"Food, Shopping, Tobacco Shops, Convenience Stores, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9461467334,-75.1782122254,7-Eleven,19146,7.0,3.5,PA,,1,1,1,,1.0
185,"4160 Monument Rd, Ste 10",N3wKFf3q6vJi0g5g0Y1ICw,"Donuts, Coffee & Tea, Restaurants, Breakfast & Brunch, Bagels, Food",Philadelphia,"{'Monday': '5:0-21:0', 'Tuesday': '5:0-21:0', 'Wednesday': '5:0-21:0', 'Thursday': '5:0-21:0', 'Friday': '5:0-21:0', 'Saturday': '5:0-21:0', 'Sunday': '5:0-21:0'}",40.0023308435,-75.2138614655,Dunkin',19131,18.0,2.0,PA,0,1,1,1,free,1.0
186,1401 S 20th St,zDSZ1o-FYC2U7rrBg_kH7w,"Breakfast & Brunch, Italian, Food, Mediterranean, Coffee & Tea, Restaurants, Cafes",Philadelphia,"{'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '7:0-20:0', 'Sunday': '7:0-20:0'}",39.9340562738,-75.1773206199,Two Eagles Cafe,19146,60.0,4.5,PA,1,1,,1,free,1.0
187,757 S Front St,CpBuc0aSueBpTXce3fJoRQ,"Restaurants, Food, Pizza, Cafes, Bakeries, Desserts, Breakfast & Brunch, American (New), Italian, Coffee & Tea",Philadelphia,"{'Wednesday': '17:0-20:30', 'Thursday': '17:0-20:30', 'Friday': '17:0-20:30', 'Saturday': '8:0-15:0', 'Sunday': '10:0-13:0'}",39.938608,-75.144302,Fiore Fine Foods,19147,89.0,4.5,PA,1,1,,1,free,1.0
188,145 N 11th St,vVfy055EfLMdd0yJYHxiMQ,"Food, Coffee & Tea, Cafes, Bakeries, Desserts, Restaurants",Philadelphia,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '12:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-23:0'}",39.9552167,-75.1574268,A La Mousse,19107,691.0,4.5,PA,1,1,2,1,free,1.0
189,1425 Locust St,UCmTG_e7I2a5dY_3qI6Jbg,"Restaurants, Bagels, Food, Donuts, Coffee & Tea, Breakfast & Brunch",Philadelphia,"{'Monday': '4:30-23:0', 'Tuesday': '4:30-23:0', 'Wednesday': '4:30-23:0', 'Thursday': '4:30-23:0', 'Friday': '5:0-21:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}",39.948588,-75.1658929,Dunkin',19102,25.0,4.0,PA,0,1,1,1,free,1.0
190,125 S 18th St,by2wRASwOKpCZU9KtZ3MHA,"Food, Sandwiches, Breakfast & Brunch, Coffee & Tea, Restaurants, Bagels",Philadelphia,"{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '7:0-17:0', 'Sunday': '7:0-17:0'}",39.9508002,-75.1703050733,Manhattan Bagel,19103,133.0,3.0,PA,1,1,1,1,free,1.0
191,1730 Chestnut St,4hv1n1VBzMvE-T4UtIcOcw,"Restaurants, Coffee & Tea, Breakfast & Brunch, American (New), Chocolatiers & Shops, Meat Shops, Italian, Seafood Markets, Fruits & Veggies, Sandwiches, Shopping, Grocery, Specialty Food, Desserts, Food, Cheese Shops",Philadelphia,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '7:0-20:0', 'Sunday': '7:0-20:0'}",39.951311,-75.1700653,Di Bruno Bros.,19103,550.0,4.0,PA,,1,2,,free,1.0
192,7706 Ogontz Ave,_l2qMhWrwrYp-HoiBkfi-Q,"Food, Breakfast & Brunch, Restaurants, Coffee & Tea",Philadelphia,"{'Monday': '6:0-14:0', 'Tuesday': '6:0-14:0', 'Wednesday': '6:0-14:0', 'Thursday': '6:0-14:0', 'Friday': '6:0-14:0', 'Saturday': '6:0-14:0', 'Sunday': '6:0-14:0'}",40.0709591,-75.1578899,O-Sunnyside Breakfast,19150,13.0,4.0,PA,,0,1,1,free,1.0
193,1706 Locust St,phsLOuBeiYI43hglvWK96Q,"Food, Vegetarian, Coffee & Tea, Bakeries, Juice Bars & Smoothies, Food Delivery Services, Gluten-Free, Cafes, Restaurants, Breakfast & Brunch, Vegan",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-16:0', 'Wednesday': '10:0-16:0', 'Thursday': '10:0-16:0', 'Friday': '10:0-16:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}",39.9487961,-75.1697449,P S & Co,19103,437.0,4.0,PA,1,1,2,1,no,1.0
194,8515 Germantown Ave,90LsqLbaoQpz_xNbSQsCFA,"Coffee & Tea, Restaurants, Food",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:30-20:0', 'Sunday': '5:30-20:0'}",40.076366,-75.206754,Starbucks,19118,58.0,3.0,PA,1,1,2,1,free,1.0
195,110 Market St,KqUinf0QEeiZdxko2dFEsA,"Coffee & Tea, Specialty Food, Desserts, Candy Stores, Food, Local Flavor, Chocolatiers & Shops",Philadelphia,"{'Monday': '12:0-19:0', 'Tuesday': '11:0-22:0', 'Wednesday': '12:0-19:0', 'Thursday': '12:0-19:0', 'Friday': '12:0-19:0', 'Saturday': '12:0-19:0', 'Sunday': '12:0-19:0'}",39.9495474,-75.1426984,Shane Confectionery,19106,169.0,4.5,PA,1,1,2,1,no,1.0
196,1313 S 3rd St,2Z4UlKeHAKmxHqbyhj4a_w,"Food, Coffee & Tea, Coffee Roasteries",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '6:0-18:0', 'Wednesday': '6:0-18:0', 'Thursday': '8:0-12:0', 'Friday': '6:0-18:0', 'Saturday': '7:0-18:0', 'Sunday': '7:0-18:0'}",39.9313999,-75.1497036,Herman's Coffee,19147,82.0,4.5,PA,,1,2,1,,1.0
197,2530 Aramingo Ave,BFPxxguGxBZQ0kR0rWePTQ,"Food, Coffee & Tea, Donuts, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.978086,-75.1194651,Dunkin',19125,27.0,1.5,PA,0,1,1,1,free,1.0
198,263 S 10th St,dJGZ4w3ujr-X44XPOzxOfw,"Food, Sandwiches, Breakfast & Brunch, Coffee & Tea, Restaurants",Philadelphia,"{'Monday': '8:0-19:0', 'Wednesday': '8:0-19:0', 'Thursday': '8:0-19:0', 'Friday': '8:0-19:0', 'Saturday': '9:0-19:0', 'Sunday': '9:0-19:0'}",39.9466562,-75.1578532,Cafe Mocha,19107,14.0,3.0,PA,1,1,2,,free,1.0
199,1800 Market St,N00XVr8qnUl5DSdTecFJ0w,"Delis, Sandwiches, Coffee & Tea, Restaurants, Food",Philadelphia,,39.9527827,-75.1703617,Cafe Express,19103,9.0,4.0,PA,0,1,1,1,,0.0
200,322 W Chelten Ave,hOupS2QRNIuMLfcpOqC0oA,"Food, Restaurants, Coffee & Tea, Breakfast & Brunch, Cafes",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-14:45', 'Wednesday': '8:0-14:45', 'Thursday': '8:0-14:45', 'Friday': '8:0-14:45', 'Saturday': '8:0-15:45', 'Sunday': '8:0-15:45'}",40.0295621,-75.1808491,Rose Petals Cafe,19144,252.0,4.0,PA,1,1,2,1,free,1.0
201,3736 Spruce St.,LKARmHZQs4cF5_OtE196xw,"Coffee & Tea, Food Trucks, Food",Philadelphia,"{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0'}",39.9509565,-75.1987396,HubBub Coffee,19104,26.0,4.5,PA,1,1,1,,no,0.0
202,120 W Oregon,fzftd8EhMnYCXE7D76zCrA,"Fast Food, Coffee & Tea, Burgers, Food, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9137981886,-75.1511147859,McDonald's,19148,23.0,2.0,PA,0,1,1,1,free,0.0
203,234-236 S11th St,hrxuwAwj7TIgAgo6TkPEMQ,"Coffee & Tea, Food, Juice Bars & Smoothies, Restaurants, Sandwiches",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '9:30-17:0', 'Saturday': '7:0-14:0', 'Sunday': '8:0-14:0'}",39.947449137,-75.1593495905,Saxbys 11th and Locust,19107,42.0,3.5,PA,1,1,2,1,free,1.0
204,1501 Cecil B Moore Ave,LR40dPwDG7bVoIPQM9M78g,"Food, Convenience Stores, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9790836429,-75.1596549153,7-Eleven,19121,7.0,2.0,PA,,1,1,1,,1.0
205,4700 Wissahickon Ave,loKMBVzemBJN0RMGwW8K8w,"American (New), Restaurants, Event Planning & Services, Arts & Entertainment, Caterers, Music Venues, American (Traditional), Coffee & Tea, Food, Nightlife, Wedding Planning, Venues & Event Spaces, Cafes",Philadelphia,,40.0155545,-75.1728699,Baba Olga's Cafe & Supper Club,19144,25.0,4.5,PA,1,1,2,1,free,1.0
206,1526 Sansom St,iRLFBbtyP8dpOKSFi6wXfg,"Food, Donuts, Chicken Shop, Restaurants, Coffee & Tea",Philadelphia,"{'Monday': '8:0-15:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}",39.9503652439,-75.1668518404,Federal Donuts,19102,8.0,4.5,PA,,,,,,
207,55 N 2nd St,D6T7YvQlBSy6edaIdCLQUg,"Food, Books, Mags, Music & Video, Bookstores, Shopping, Coffee & Tea",Philadelphia,,39.9514104,-75.1430545,Big Jar,19106,10.0,4.0,PA,,1,1,,,1.0
208,7555 Haverford Ave,bACIZGdHRFfNtrufH0wMbQ,"Coffee & Tea, Restaurants, Bagels, Food, Caterers, Bakeries, Event Planning & Services, Kosher",Philadelphia,"{'Monday': '0:0-0:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0', 'Sunday': '7:0-14:0'}",39.9797004,-75.2680846,New York Bagel Bakery,19151,82.0,4.5,PA,0,1,1,1,free,1.0
209,28 S 40th St,z7GXmSfRl92A_NWB7Zz4Og,"Breakfast & Brunch, Sandwiches, Restaurants, Coffee & Tea, Food, Cafes",Philadelphia,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '8:0-17:0', 'Sunday': '9:0-17:0'}",39.956338099999996,-75.202346,Green Line Cafe,19104,51.0,3.5,PA,1,1,1,1,free,0.0
210,254 South 15th St,p5pQ5PKXiEc4yLxsL4TsFA,"Restaurants, Coffee & Tea, Food",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '5:30-20:0', 'Wednesday': '5:30-20:0', 'Thursday': '5:30-20:0', 'Friday': '5:30-20:0', 'Saturday': '6:0-20:0', 'Sunday': '6:0-20:0'}",39.947897,-75.166424,Starbucks,19102,32.0,3.5,PA,1,1,1,0,free,1.0
211,12055 Knights Rd,Z2Dh3nBT7bGIS2IVoV2zAw,"Coffee & Tea, Food, Donuts",Philadelphia,,40.0858038,-74.972094,Dunkin' Donuts,19154,7.0,4.0,PA,1,1,1,1,free,0.0
212,1700 JFK Blvd,M7qv_LrFhOb-OIl0ma4DSw,"Food, Donuts, Coffee & Tea",Philadelphia,"{'Monday': '5:0-21:0', 'Tuesday': '5:0-21:0', 'Wednesday': '5:0-21:0', 'Thursday': '5:0-21:0', 'Friday': '5:0-21:0', 'Saturday': '6:0-19:0', 'Sunday': '6:0-19:0'}",39.954123,-75.166819,Dunkin',19103,15.0,3.0,PA,0,1,1,1,free,0.0
213,7613 Castor Ave,TC0SkzAqSdbmX0bYyvoJ8g,"Fast Food, Restaurants, Food, Coffee & Tea, Burgers",Philadelphia,"{'Monday': '5:30-0:0', 'Tuesday': '5:30-0:0', 'Wednesday': '5:30-0:0', 'Thursday': '5:30-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '5:30-0:0'}",40.056364,-75.0605151,McDonald's,19152,22.0,1.5,PA,0,1,1,1,free,0.0
214,1745 South St,RLoGgt2GGC8wHpZ7K2ZbRA,"Food, Coffee & Tea, Bagels, Internet Cafes",Philadelphia,"{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '7:0-15:0', 'Sunday': '7:0-15:0'}",39.9446597,-75.1717524,OCF Coffee House,19146,148.0,3.5,PA,1,1,2,1,free,1.0
215,1500 S Broad St,1w40T5J6br425rMvpS1zgQ,"Coffee & Tea, Food, Bubble Tea, Restaurants, Cafes, Mexican, Latin American, Breakfast & Brunch",Philadelphia,"{'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",39.9316737,-75.1684579,La Cocina del Cafe,19146,24.0,5.0,PA,,1,,1,free,0.0
216,1800 Chestnut St,rfFJTymwtgcnSdb1BXb7xw,"Food, Coffee & Tea",Philadelphia,"{'Monday': '6:0-20:0', 'Tuesday': '6:0-20:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-20:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}",39.9514852281,-75.1705109411,Saxbys 1800,19103,9.0,3.5,PA,,,,,free,0.0
217,1819 E Passyunk Ave,TUtOrI_GnVwSuHHTTEN8MA,"Coffee & Tea, Sandwiches, Food, Breakfast & Brunch, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '7:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}",39.9272228,-75.1663261,Chhaya Cafe,19148,301.0,4.0,PA,1,1,2,1,free,1.0
218,9800 Germantown Pike,EvYeRMbG9XlEkafCJfnovA,"Italian, Brazilian, Coffee & Tea, Breakfast & Brunch, Breweries, Restaurants, Brewpubs, Food",Philadelphia,"{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}",40.086094,-75.230789,Bruno's,19118,114.0,3.0,PA,1,1,1,1,free,1.0
219,125 S 40th St,a0rBn7usm4HTnPcz_Angmw,"Coffee & Tea, Food, Donuts",Philadelphia,"{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '5:0-22:30', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-23:0'}",39.9547153,-75.2020952,Dunkin',19104,19.0,2.5,PA,0,1,1,1,free,1.0
220,931 Spring Garden St,nKdvOAenRN4WllzGJ3hd4g,"Restaurants, Cafes, Bars, Nightlife, Food, Coffee & Tea, Cocktail Bars",Philadelphia,"{'Friday': '9:0-15:0', 'Saturday': '9:0-15:0', 'Sunday': '9:0-15:0'}",39.961891,-75.154075,Win Win,19123,102.0,4.5,PA,0,1,2,1,free,1.0
221,6110 Woodland Ave,uKEZQ_j3B8kMd-ThoGZDYQ,"Donuts, Food, Coffee & Tea, Ice Cream & Frozen Yogurt",Philadelphia,"{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-22:0', 'Saturday': '5:0-22:0', 'Sunday': '5:0-22:0'}",39.9288577,-75.229312,Dunkin',19142,5.0,1.5,PA,,,1,1,,
222,"600 Washington Ave, Ste 9",b6kCTSH1kHtfcHxUTm2odA,"Desserts, Bubble Tea, Juice Bars & Smoothies, Food, Coffee & Tea, Restaurants, Vietnamese",Philadelphia,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-19:0'}",39.9346629,-75.1542102,BAMBU,19147,170.0,4.0,PA,0,0,1,1,,1.0
223,"Dilworth Park N, 1400 John F Kennedy Blvd",nF9pEi7NxvMWXZYTHOhdew,"Restaurants, Coffee & Tea, Breakfast & Brunch, Food, Cuban, Cafes",Philadelphia,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}",39.9531863003,-75.1645308389,Rosa Blanca Cafe,19107,19.0,3.5,PA,1,1,1,1,free,1.0
224,10865 Bustleton Ave,pnDavnO86ecVdnecksUW9w,"Food, Delis, Coffee & Tea, Salad, Russian, Restaurants, Georgian",Philadelphia,"{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",40.1106186,-75.0239353,Georgian Bread Cuisine,19116,83.0,4.5,PA,0,1,2,1,no,1.0
225,2001 N 13th St,RjKTDimEapGJGtxIMnIwbQ,"Coffee & Tea, Food, Arts & Entertainment, Art Galleries, Food Trucks, Shopping",Philadelphia,"{'Monday': '7:30-18:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0'}",39.9829493,-75.1547108,Cloud Coffee,19122,12.0,4.0,PA,1,1,1,,free,1.0
226,113 W Girard Ave,RMRlzkMedvSjxFLN9cIJSw,"Coffee & Tea, Food",Philadelphia,,39.9691333,-75.1366249,Coffee House,19122,10.0,4.0,PA,1,0,1,,free,1.0
227,1300 Pine St,lh3ApskP-4XVdsQ-82792g,"Breakfast & Brunch, Bagels, American (Traditional), Cafes, Coffee & Tea, Sandwiches, Restaurants, Food",Philadelphia,"{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-14:0'}",39.9451009,-75.1630885,Last Drop,19107,209.0,3.0,PA,1,1,1,1,free,1.0
228,806 S 6th St,51BQzF_4dOOuIO9s-4Ropw,"Desserts, Food, Specialty Food, Coffee & Tea, Restaurants, Chocolatiers & Shops",Philadelphia,"{'Tuesday': '18:0-22:30', 'Wednesday': '18:0-22:30', 'Thursday': '18:0-22:30', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0'}",39.9385564,-75.1531778,Golosa,19147,65.0,4.0,PA,1,0,2,1,free,
229,"1420 W. Cecil B Moore, Ste A",4pyR9gY74U0cRWZDB9C6Cw,"Sandwiches, Food, Coffee & Tea, Breakfast & Brunch, Donuts, Restaurants",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",39.9786829,-75.1589817,Dunkin',19121,26.0,1.5,PA,0,1,1,1,free,0.0
230,200 S Broad St,w5fyVRnGWXl_ldGt0Hu5uQ,"Food, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '7:30-14:30', 'Wednesday': '7:30-14:30', 'Thursday': '7:30-14:30', 'Friday': '7:30-14:30'}",39.949096,-75.1645450294,Starbucks,19102,26.0,3.5,PA,0,1,2,0,free,1.0
231,1001-1005 Chestnut St,7Klk8UuK1sdJt5_44eUtDg,"Food, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '4:30-20:0', 'Wednesday': '4:30-20:0', 'Thursday': '4:30-20:0', 'Friday': '4:30-20:0', 'Saturday': '4:30-18:0', 'Sunday': '4:30-18:0'}",39.950143,-75.157164,Starbucks,19107,58.0,3.5,PA,0,1,1,1,free,1.0
232,331 S 22nd St,SUpQ7uFtXvdzgVubewMV8g,"Coffee & Tea, Food",Philadelphia,"{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '7:0-17:0', 'Sunday': '7:0-17:0'}",39.9473679,-75.1780146,Good Karma Cafe,19103,217.0,4.0,PA,1,1,1,1,free,1.0
233,21 S 5th St,fMjyjqrtqNWjHIMfH7vkgg,"Food, Coffee & Tea, Restaurants",Philadelphia,"{'Monday': '6:30-18:0', 'Tuesday': '6:30-18:0', 'Wednesday': '6:30-18:0', 'Thursday': '6:30-18:0', 'Friday': '6:30-18:0', 'Saturday': '9:0-17:0', 'Sunday': '10:0-17:0'}",39.9498306,-75.1490878,Cafe Bravo,19106,5.0,3.5,PA,1,0,2,1,free,0.0
234,13 N 32nd St,K83AQ_2U1Fuf_TIF-fRRXg,"Juice Bars & Smoothies, Coffee & Tea, Food, Bubble Tea",Philadelphia,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}",39.955934,-75.187982,Kung Fu Tea,19104,28.0,4.0,PA,0,1,,1,free,1.0
235,1113 Market St,v30UfHgDVZJSjLriIwnh3w,"Donuts, Coffee & Tea, Food",Philadelphia,"{'Monday': '5:0-20:30', 'Tuesday': '5:0-20:30', 'Wednesday': '5:0-20:30', 'Thursday': '5:0-20:30', 'Friday': '5:0-20:30', 'Saturday': '5:0-20:30', 'Sunday': '5:0-20:30'}",39.9521961,-75.1595214,Dunkin',19107,31.0,2.5,PA,0,1,1,1,free,0.0
236,"The Wanamaker Building, Juniper St Lobby, 100 N Wanamaker St",nzGPYlzhmvCxTfPKKRQurg,"Coffee & Tea, Food",Philadelphia,,39.9519386292,-75.1587524414,Passero's Gourmet Coffee Co,19107,7.0,3.0,PA,1,1,2,,,0.0
237,4134 Chester Ave,0vfmJXYVLZAMpUuNJx6ejw,"Food, Vegan, Sandwiches, Bakeries, Restaurants, Coffee & Tea",Philadelphia,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-16:0', 'Sunday': '8:0-16:0'}",39.9482179212,-75.2068880573,Grindcore House,19104,25.0,4.5,PA,0,1,1,1,free,1.0
